Time,Measurements
0.00010263199999371864,2.811519e-07
0.3621483910000052,-1.544951e-08
0.7299080380000049,-2.497985e-08
1.0976519889999992,-2.096676e-08
1.4654593310000052,-1.666355e-08
1.8482289170000001,-2.040542e-08
2.2319771309999936,1.049973e-06
2.5837856440000024,7.658538e-05
2.967538989000005,4.217198e-09
3.3353098049999943,1.264845e-08
3.703076396,1.676778e-08
4.070855965999996,2.448478e-08
4.454605387000001,2.153254e-08
4.838394652999995,2.38531e-08
5.237121713999997,1.049864e-06
5.588837556000001,9.305237e-05
5.972931398,1.61368e-08
6.356359037000004,-1.731623e-08
6.740198109999994,8.556916e-09
7.107955040999997,5.736036e-09
7.475742158000003,-1.312721e-08
7.858427223999996,-9.638805e-09
8.242307651000004,-1.116428e-08
8.626026886000005,1.04988e-06
8.977820003999994,2.339687e-09
9.345572105000002,-2.089298e-08
9.713333866,-1.885521e-08
10.081237199,-9.539829e-09
10.464808523000002,-1.093867e-08
10.847575393,-9.832166e-09
11.231439218000006,1.049951e-06
11.583204565000003,6.778078e-05
11.966883953999996,1.326695e-08
12.334694616000007,1.753339e-08
12.702469659000002,2.445769e-08
13.07026854899999,2.081215e-08
13.452952105000008,2.101665e-08
13.83671480800001,1.049537e-06
14.188562561999987,9.473314e-05
14.572344885999996,9.178067e-09
14.940039633999987,5.114436e-09
15.32387116000001,-3.878176e-09
15.691614205999997,-1.703016e-08
16.07532740299999,-1.394152e-08
16.45809729199999,-1.211335e-08
16.825928177999998,1.050095e-06
17.17771344799999,-1.651616e-08
17.54548426400001,-2.033954e-08
17.913185352,-1.649833e-08
18.281019558999986,-5.792923e-09
18.664800071000002,-3.151068e-09
19.048566093999995,1.001578e-08
19.431241801999988,1.050061e-06
19.783102235,4.938929e-05
20.166847128,1.742901e-08
20.55060801900001,1.710411e-08
20.918318766,2.419163e-08
21.286096222999987,-1.407722e-08
21.669857115000013,1.845563e-08
22.05271092000001,2.058205e-08
22.436379743999993,1.049977e-06
22.788225385999993,7.369935e-05
23.172037593,7.03797e-09
23.539761622000015,1.092503e-09
23.923464556,-8.154466e-09
24.29129483899999,-1.849595e-08
24.675034298000014,-1.689643e-08
25.057764945000002,-1.531002e-08
25.441524629000014,-1.472877e-08
25.82532355500001,1.050034e-06
26.177122106000013,-1.764013e-08
26.544889904,-1.887836e-08
26.912605481000014,-1.390341e-08
27.280447234000007,-2.299628e-09
27.66420691799999,1.976163e-09
28.046963825999995,-2.805824e-09
28.430660724000006,1.050009e-06
28.782522061999998,4.569187e-05
29.166284160999993,1.764348e-08
29.534032036000013,1.918296e-08
29.917741913000015,2.442857e-08
30.28557008300001,-2.456278e-08
30.669266074999996,1.809551e-08
31.052338123999988,2.095852e-08
31.435782364999994,1.049969e-06
31.787649439000006,7.00245e-05
32.17139614300001,6.262904e-09
32.53917933599999,-9.958326e-09
32.922879252,-1.112388e-08
33.290713157,-2.044757e-08
33.673485158000005,-1.390713e-08
34.041239976000014,-1.754584e-08
34.42494140100001,1.05004e-06
34.776783118,-1.764958e-08
35.14465596299999,-1.400047e-08
35.51232565699999,-8.142498e-09
35.88004304500001,7.191695e-09
36.263871854,1.226949e-08
36.647643310999996,1.285583e-08
37.03138488299999,1.049916e-06
37.382190017,2.05316e-07
